,wl,n,k
0,0.2938,0.94,2.58
1,0.3002,0.98,2.67
2,0.3077,1.02,2.76
3,0.3163,1.06,2.85
4,0.3237,1.12,2.95
5,0.3333,1.18,3.04
6,0.3416,1.26,3.12
7,0.3512,1.33,3.18
8,0.3625,1.39,3.24
9,0.3723,1.43,3.31
10,0.385,1.44,3.4
11,0.3961,1.48,3.54
12,0.4092,1.54,3.71
13,0.4246,1.65,3.89
14,0.4381,1.8,4.06
15,0.4558,1.99,4.22
16,0.4714,2.22,4.36
17,0.4901,2.49,4.44
18,0.5123,2.75,4.46
19,0.5321,2.98,4.45
20,0.5585,3.18,4.41
21,0.5821,3.34,4.38
22,0.6108,3.48,4.36
23,0.7005,3.84,4.37
24,0.8157,4.23,4.34
25,0.8266,4.27,4.33
26,0.8492,4.31,4.32
27,0.861,4.33,4.32
28,0.8856,4.38,4.31
29,0.9116,4.42,4.3
30,0.9393,4.47,4.29
31,0.9686,4.49,4.28
32,0.9999,4.5,4.28
33,1.033,4.52,4.29
34,1.069,4.53,4.3
35,1.107,4.53,4.31
36,1.148,4.53,4.34
37,1.192,4.51,4.36
38,1.24,4.47,4.43
39,1.2919999999999998,4.47,4.5
40,1.348,4.45,4.56
41,1.3780000000000001,4.43,4.6
42,1.442,4.35,4.66
43,1.5119999999999998,4.24,4.81
44,1.59,4.13,5.03
45,1.675,4.06,5.3
46,1.771,4.01,5.59
47,1.879,3.96,5.95
48,2.0,4.01,6.31
49,2.138,4.01,6.65
50,2.296,3.92,7.06
51,2.48,3.83,7.58
52,2.695,3.72,8.2
53,2.952,3.47,8.97
